GlobalBin    Bin    row_lo    row_hi    subrow_lo    subrow_hi    element_lo    element_hi
523     68     0.3     0.45     -0.5     0     0.226     0.296
524     69     0.3     0.45     -0.5     0     0.296     0.386
525     70     0.3     0.45     -0.5     0     0.386     0.505
526     71     0.3     0.45     -0.5     0     0.505     2.506
527     72     0.3     0.45     0     0.3     0.106     0.226
528     73     0.3     0.45     0     0.3     0.226     0.296
529     74     0.3     0.45     0     0.3     0.296     0.386
530     75     0.3     0.45     0     0.3     0.386     0.505
531     76     0.3     0.45     0     0.3     0.505     0.577
532     77     0.3     0.45     0     0.3     0.577     2.506
533     78     0.3     0.45     0.3     0.5     0.106     0.226
