Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
7 - 28 | 2.45701e-07
7 - 29 | 2.52044e-09
7 - 30 | 1.95862e-07
7 - 31 | -1.76597e-07
7 - 32 | 5.7414e-08
7 - 33 | 1.36832e-07
7 - 34 | 6.57557e-07
7 - 35 | 2.72206e-07
7 - 36 | 2.75351e-07
7 - 37 | 1.46512e-07
7 - 38 | 1.10463e-09
7 - 39 | 1.57043e-07
7 - 40 | -8.91044e-08
7 - 41 | 4.17688e-07
7 - 42 | 1.51493e-08
7 - 43 | 2.63143e-07
7 - 44 | 9.87702e-08
7 - 45 | 9.77236e-08
7 - 46 | 1.92811e-09
7 - 47 | 1.34591e-07
7 - 48 | -2.07614e-08
7 - 49 | 1.96093e-07
7 - 50 | 1.63883e-07
7 - 51 | 2.20263e-07
7 - 52 | 1.78289e-07
7 - 53 | 1.41316e-07
7 - 54 | 8.95932e-08
7 - 55 | 2.06459e-07
7 - 56 | 5.245e-08
7 - 57 | 3.96488e-09
7 - 58 | 1.8259e-07
7 - 59 | 8.39294e-08
7 - 60 | 4.78486e-08
7 - 61 | 1.75964e-07
7 - 62 | -1.39945e-08
7 - 63 | 4.21412e-08
7 - 64 | 9.77682e-08
7 - 65 | 5.47428e-08
7 - 66 | 7.01766e-09
8 - 0 | 0.000482019
8 - 1 | 0.000691806
8 - 2 | 1.43124e-06
8 - 3 | 0.000831799
8 - 4 | 0.00135825
8 - 5 | 0.00131713
8 - 6 | 0.000464687
8 - 7 | 9.67202e-07
8 - 8 | 0.00116158
8 - 9 | -0.000321209
8 - 10 | 0.000572167
8 - 11 | 0.000856676
8 - 12 | 0.00062676
8 - 13 | 8.56923e-05
8 - 14 | 8.04578e-07
8 - 15 | 0.000547861
8 - 16 | -2.67324e-05
8 - 17 | 0.000157095
8 - 18 | 0.000568503
8 - 19 | 0.000430261
8 - 20 | 0.0002337
8 - 21 | 1.8755e-06
8 - 22 | 0.000562422
8 - 23 | -5.66716e-05
8 - 24 | 0.000197216
8 - 25 | 0.000231907
8 - 26 | 0.000310454
8 - 27 | 0.000239942
8 - 28 | 0.0001742
8 - 29 | 1.01007e-06
8 - 30 | 0.0003267
8 - 31 | 0.000134704
8 - 32 | -0.00032026
8 - 33 | 0.000398379
8 - 34 | 0.000405142
8 - 35 | 0.000147483
8 - 36 | 0.000189907
8 - 37 | 0.00010467
8 - 38 | 4.07673e-07
8 - 39 | 1.28853e-05
8 - 40 | 0.000662918
8 - 41 | -5.28135e-05
8 - 42 | 0.00016323
8 - 43 | 0.000136291
8 - 44 | 0.00010663
8 - 45 | 6.715e-05
8 - 46 | 6.71849e-07
8 - 47 | 0.000129726
8 - 48 | 0.000347816
8 - 49 | 3.16463e-06
8 - 50 | 7.94107e-05
8 - 51 | 0.000172223
8 - 52 | 0.000130883
8 - 53 | 6.21585e-05
8 - 54 | 8.49519e-05
8 - 55 | 0.000104691
8 - 56 | 6.00613e-05
8 - 57 | 3.56013e-06
8 - 58 | 0.000179315
8 - 59 | 0.000146421
8 - 60 | 6.19561e-05
8 - 61 | 8.78481e-05
8 - 62 | 4.43061e-06
8 - 63 | 2.75786e-05
8 - 64 | 8.79592e-05
8 - 65 | 6.85469e-05
8 - 66 | 8.84291e-06
9 - 0 | 0.000598032
9 - 1 | -0.000773397
9 - 2 | -1.54463e-06
9 - 3 | -0.000464221
9 - 4 | 0.00183643
9 - 5 | 0.000197914
9 - 6 | -0.000193942
9 - 7 | -4.60977e-07
9 - 8 | -0.000321209
9 - 9 | 0.0019113
9 - 10 | 0.000847836
9 - 11 | 0.000788149
9 - 12 | 3.26052e-05
9 - 13 | 1.58235e-05
9 - 14 | -1.7874e-08
9 - 15 | -8.10038e-05
9 - 16 | 0.000791031
9 - 17 | 0.000750494
9 - 18 | 0.000661971
9 - 19 | 0.000359289
9 - 20 | 0.000105269
9 - 21 | 9.84147e-07
9 - 22 | -5.18294e-05
9 - 23 | 0.000659015
9 - 24 | 0.000681845
9 - 25 | 0.000782244
9 - 26 | 0.000392521
9 - 27 | 0.000344198
9 - 28 | 0.000137112
9 - 29 | 1.34422e-06
9 - 30 | -3.69371e-05
9 - 31 | 0.00043684
9 - 32 | 0.0005502
9 - 33 | 0.000582373
9 - 34 | 5.69556e-05
9 - 35 | 0.00014553
9 - 36 | 8.48918e-05
9 - 37 | 5.11196e-05
9 - 38 | 4.69646e-07
9 - 39 | 0.000111978
9 - 40 | 0.00049377
9 - 41 | 0.000578451
9 - 42 | 0.000236461
9 - 43 | 0.000309436
9 - 44 | 0.0002127
9 - 45 | 5.42301e-05
9 - 46 | 1.01816e-06
9 - 47 | 6.50053e-05
9 - 48 | 0.000295519
9 - 49 | 0.000122043
9 - 50 | 5.27541e-05
9 - 51 | -1.73988e-05
9 - 52 | -0.000139103
9 - 53 | 3.89726e-05
9 - 54 | 9.48393e-05
9 - 55 | 8.56343e-05
9 - 56 | 3.18752e-05
9 - 57 | 7.15315e-07
9 - 58 | 5.30484e-05
9 - 59 | 0.000128974
9 - 60 | 0.000119138
9 - 61 | 0.000107224
9 - 62 | 8.25424e-06
9 - 63 | 8.12253e-05
9 - 64 | 0.000108387
9 - 65 | 9.28405e-05
9 - 66 | 1.66144e-06
10 - 0 | 0.00138427
10 - 1 | 0.00014534
10 - 2 | 3.62848e-07
10 - 3 | 0.000200243
10 - 4 | 0.00429707
10 - 5 | 0.0024838
10 - 6 | 0.000422517
10 - 7 | 8.12482e-07
10 - 8 | 0.000572167
10 - 9 | 0.000847836
10 - 10 | 0.0028646
10 - 11 | 0.00169057
10 - 12 | 0.00135414
10 - 13 | 0.000145725
10 - 14 | 1.46632e-06
10 - 15 | 0.000527938
10 - 16 | 0.00038048
10 - 17 | 0.00208709
10 - 18 | 0.00141359
10 - 19 | 0.00135624
10 - 20 | 0.000392438
10 - 21 | 5.88025e-06
10 - 22 | 0.000548404
10 - 23 | 0.00027025
10 - 24 | 0.00156905
10 - 25 | 0.00117438
10 - 26 | 0.000832788
10 - 27 | 0.000868002
10 - 28 | 0.000468669
10 - 29 | 4.41024e-06
10 - 30 | 0.000291541
10 - 31 | 0.000113659
10 - 32 | 0.000599384
10 - 33 | 0.000911312
10 - 34 | 0.000687127
10 - 35 | 0.000257377
10 - 36 | 0.000403192
10 - 37 | 0.000149342
10 - 38 | 1.51211e-06
10 - 39 | 0.000104753
10 - 40 | 0.000528939
10 - 41 | 0.00123291
10 - 42 | 0.000190412
10 - 43 | 0.00069685
10 - 44 | 0.000324228
10 - 45 | 0.000181648
10 - 46 | 2.88508e-06
10 - 47 | 0.000179023
10 - 48 | 0.000341763
10 - 49 | 0.000330175
10 - 50 | -0.000179466
10 - 51 | -8.88779e-05
10 - 52 | -0.000167603
10 - 53 | -5.88766e-05
10 - 54 | 0.000188438
10 - 55 | 0.000286963
10 - 56 | 0.000106961
10 - 57 | 9.55989e-06
10 - 58 | 0.000384715
10 - 59 | 0.000237104
10 - 60 | -6.47201e-05
10 - 61 | 6.36278e-05
10 - 62 | -4.54011e-05
10 - 63 | -4.00599e-05
10 - 64 | 0.000219053
10 - 65 | 0.000144443
10 - 66 | 2.442e-05
11 - 0 | 0.00206157
11 - 1 | 0.000993811
11 - 2 | 8.1803e-07
11 - 3 | 0.000371524
11 - 4 | 0.0035872
11 - 5 | 0.00280222
11 - 6 | 0.00113427
11 - 7 | 1.20996e-06
11 - 8 | 0.000856676
11 - 9 | 0.000788149
11 - 10 | 0.00169057
11 - 11 | 0.00358639
11 - 12 | 0.0016212
11 - 13 | 0.00024836
11 - 14 | 1.31323e-06
11 - 15 | 0.000371342
11 - 16 | 0.000322044
11 - 17 | 0.000744168
11 - 18 | 0.00235585
11 - 19 | 0.00154072
11 - 20 | 0.000683833
11 - 21 | 4.39154e-06
11 - 22 | 0.000503237
11 - 23 | 0.000189008
11 - 24 | 0.000335097
11 - 25 | 0.00154421
11 - 26 | 0.00107575
11 - 27 | 0.0009727
11 - 28 | 0.000549796
11 - 29 | 2.689e-06
11 - 30 | 0.000181941
11 - 31 | 0.000307443
11 - 32 | -0.000443022
11 - 33 | 0.00146525
11 - 34 | 0.00055518
11 - 35 | 0.000485765
11 - 36 | 0.000437685
11 - 37 | 0.00033207
11 - 38 | 3.11825e-07
11 - 39 | -7.8809e-05
11 - 40 | 0.000357746
11 - 41 | -0.000223486
