Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
10 - 58 | 0.000683699
10 - 59 | 0.00118248
10 - 60 | 0.00177416
10 - 61 | 0.00158096
10 - 62 | 0.000617519
10 - 63 | 0.00125554
10 - 64 | 0.00148261
10 - 65 | 0.00147144
10 - 66 | 6.71226e-05
11 - 0 | 0.00175071
11 - 1 | 0.00142547
11 - 2 | 1.86326e-06
11 - 3 | 0.00142897
11 - 4 | 0.00496596
11 - 5 | 0.0037829
11 - 6 | 0.00160483
11 - 7 | 2.52732e-06
11 - 8 | 0.00122475
11 - 9 | 0.00437648
11 - 10 | 0.00489921
11 - 11 | 0.0064145
11 - 12 | 0.00443402
11 - 13 | 0.000490161
11 - 14 | 3.26381e-06
11 - 15 | 0.000714406
11 - 16 | 0.00336334
11 - 17 | 0.00565257
11 - 18 | 0.0062759
11 - 19 | 0.00531367
11 - 20 | 0.00175136
11 - 21 | 1.50405e-05
11 - 22 | 0.000896044
11 - 23 | 0.00339263
11 - 24 | 0.00521504
11 - 25 | 0.00636921
11 - 26 | 0.00414902
11 - 27 | 0.00327676
11 - 28 | 0.00226587
11 - 29 | 1.16946e-05
11 - 30 | 0.000356199
11 - 31 | 0.00263044
11 - 32 | 0.00509787
11 - 33 | 0.0059222
11 - 34 | 0.00705273
11 - 35 | 0.00319116
11 - 36 | 0.00198039
11 - 37 | 0.00119852
11 - 38 | 3.4694e-06
11 - 39 | 0.000812791
11 - 40 | 0.00447107
11 - 41 | 0.00563284
11 - 42 | 0.00325348
11 - 43 | 0.00400924
11 - 44 | 0.00241158
11 - 45 | 0.000776718
11 - 46 | 1.0446e-05
11 - 47 | 0.000666212
11 - 48 | 0.0024813
11 - 49 | 0.00423837
11 - 50 | 0.00558643
11 - 51 | 0.00356087
11 - 52 | 0.0037993
11 - 53 | 0.00267428
11 - 54 | 0.00177477
11 - 55 | 0.0021316
11 - 56 | 0.000792556
11 - 57 | 2.69646e-05
11 - 58 | 0.000895162
11 - 59 | 0.00154822
11 - 60 | 0.00232289
