Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
6 - 59 | 0.0
6 - 60 | 1.19498021907e-05
6 - 61 | 3.04847367177e-05
6 - 62 | 4.69480895001e-05
6 - 63 | 4.08981511972e-05
6 - 64 | 2.82628664422e-05
6 - 65 | 2.80690072905e-05
6 - 66 | 2.5567395791e-05
6 - 67 | 1.66271465702e-05
6 - 68 | 1.29500868434e-05
6 - 69 | 3.46679185955e-06
6 - 70 | 3.26079361341e-07
6 - 71 | 0.0
6 - 72 | 1.40073523159e-05
6 - 73 | 3.33942360478e-05
6 - 74 | 5.86342674725e-05
6 - 75 | 5.82107043324e-05
6 - 76 | 4.74320476161e-05
6 - 77 | 2.75069627531e-05
6 - 78 | 2.40518783716e-05
6 - 79 | 2.36350108775e-05
6 - 80 | 2.01265565023e-05
6 - 81 | 1.11782842813e-05
6 - 82 | 2.85694801911e-06
6 - 83 | 1.42695293081e-08
6 - 84 | 8.56838052645e-06
6 - 85 | 1.75473394966e-05
6 - 86 | 3.05490123258e-05
6 - 87 | 3.10582537984e-05
6 - 88 | 1.95818829043e-05
6 - 89 | 1.31673420367e-05
6 - 90 | 1.3636930361e-05
6 - 91 | 1.59414742471e-05
6 - 92 | 1.77832655658e-05
6 - 93 | 1.82185716599e-05
6 - 94 | 1.44215800544e-05
6 - 95 | 6.4429315143e-07
7 - 0 | 8.7220496192e-06
7 - 1 | 1.92794382688e-05
7 - 2 | 1.74090512954e-05
7 - 3 | 5.25707855628e-06
7 - 4 | 1.63482910504e-06
7 - 5 | 6.95879525567e-07
7 - 6 | 1.55562026952e-07
7 - 7 | 4.44170540308e-08
7 - 8 | 0.0
7 - 9 | 0.0
7 - 10 | 0.0
7 - 11 | 0.0
7 - 12 | 7.01933396361e-06
7 - 13 | 1.81787708866e-05
7 - 14 | 2.03179950838e-05
7 - 15 | 8.73207338912e-06
7 - 16 | 4.29983127306e-06
7 - 17 | 1.97883824082e-06
7 - 18 | 6.69837480326e-07
7 - 19 | 2.40186261728e-07
7 - 20 | 4.38424143427e-08
7 - 21 | 0.0
7 - 22 | 0.0
7 - 23 | 0.0
7 - 24 | 6.60313712401e-06
7 - 25 | 1.74501933804e-05
7 - 26 | 2.01735297586e-05
7 - 27 | 1.18449699668e-05
7 - 28 | 6.43715520083e-06
7 - 29 | 3.19966999609e-06
7 - 30 | 1.68747685228e-06
7 - 31 | 7.02819773077e-07
7 - 32 | -2.02143728479e-07
7 - 33 | -3.75645880886e-08
7 - 34 | 0.0
7 - 35 | 0.0
7 - 36 | 5.72559368201e-06
7 - 37 | 1.59321739242e-05
7 - 38 | 1.97673070778e-05
7 - 39 | 1.48010531425e-05
7 - 40 | 7.37582366518e-06
7 - 41 | 4.77962325911e-06
7 - 42 | 3.33843865033e-06
7 - 43 | 1.67378450468e-06
7 - 44 | 3.30289667809e-07
7 - 45 | -1.93845824054e-07
7 - 46 | 0.0
7 - 47 | 0.0
7 - 48 | 4.15578381132e-06
7 - 49 | 1.27311958506e-05
7 - 50 | 1.73593352573e-05
7 - 51 | 1.42397820545e-05
7 - 52 | 8.84766263243e-06
7 - 53 | 8.78350739343e-06
7 - 54 | 4.68832527147e-06
7 - 55 | 9.83622241094e-06
7 - 56 | 1.66331416626e-06
7 - 57 | 2.32218448318e-07
7 - 58 | 1.55159842773e-08
7 - 59 | 0.0
7 - 60 | 3.41198311672e-06
7 - 61 | 8.70419487606e-06
7 - 62 | 1.34049155107e-05
7 - 63 | 1.16774988542e-05
7 - 64 | 8.06979241929e-06
7 - 65 | 8.01444052793e-06
7 - 66 | 7.30016458725e-06
7 - 67 | 4.74748807315e-06
7 - 68 | 3.69759071861e-06
7 - 69 | 9.8986034289e-07
7 - 70 | 9.31042420494e-08
7 - 71 | 0.0
7 - 72 | 3.99946784466e-06
7 - 73 | 9.53493353048e-06
7 - 74 | 1.67416269729e-05
7 - 75 | 1.66206885457e-05
7 - 76 | 1.35430982936e-05
7 - 77 | 7.85396201611e-06
7 - 78 | 6.8674444664e-06
7 - 79 | 6.74841782235e-06
7 - 80 | 5.74666173444e-06
7 - 81 | 3.19169444255e-06
7 - 82 | 8.15733871655e-07
7 - 83 | 4.07432627801e-09
7 - 84 | 2.44649821204e-06
7 - 85 | 5.01022737867e-06
7 - 86 | 8.72254725431e-06
7 - 87 | 8.86794910106e-06
7 - 88 | 5.59114308309e-06
7 - 89 | 3.75962279577e-06
7 - 90 | 3.89370262479e-06
7 - 91 | 4.55171057384e-06
7 - 92 | 5.07759048243e-06
7 - 93 | 5.20188183222e-06
7 - 94 | 4.11774076899e-06
7 - 95 | 1.83962656437e-07
8 - 0 | 0.0
8 - 1 | 0.0
8 - 2 | 0.0
8 - 3 | 0.0
8 - 4 | 0.0
8 - 5 | 0.0
8 - 6 | 0.0
8 - 7 | 0.0
8 - 8 | 0.0
8 - 9 | 0.0
8 - 10 | 0.0
8 - 11 | 0.0
8 - 12 | 0.0
8 - 13 | 0.0
8 - 14 | 0.0
8 - 15 | 0.0
8 - 16 | 0.0
8 - 17 | 0.0
8 - 18 | 0.0
8 - 19 | 0.0
8 - 20 | 0.0
8 - 21 | 0.0
8 - 22 | 0.0
8 - 23 | 0.0
8 - 24 | 0.0
8 - 25 | 0.0
8 - 26 | 0.0
8 - 27 | 0.0
8 - 28 | 0.0
8 - 29 | 0.0
8 - 30 | 0.0
8 - 31 | 0.0
8 - 32 | -0.0
8 - 33 | -0.0
8 - 34 | 0.0
8 - 35 | 0.0
8 - 36 | 0.0
8 - 37 | 0.0
8 - 38 | 0.0
8 - 39 | 0.0
8 - 40 | 0.0
8 - 41 | 0.0
8 - 42 | 0.0
8 - 43 | 0.0
8 - 44 | 0.0
8 - 45 | -0.0
8 - 46 | 0.0
8 - 47 | 0.0
8 - 48 | 0.0
8 - 49 | 0.0
8 - 50 | 0.0
8 - 51 | 0.0
8 - 52 | 0.0
8 - 53 | 0.0
8 - 54 | 0.0
8 - 55 | 0.0
8 - 56 | 0.0
8 - 57 | 0.0
8 - 58 | 0.0
8 - 59 | 0.0
8 - 60 | 0.0
8 - 61 | 0.0
8 - 62 | 0.0
8 - 63 | 0.0
8 - 64 | 0.0
8 - 65 | 0.0
8 - 66 | 0.0
8 - 67 | 0.0
8 - 68 | 0.0
8 - 69 | 0.0
8 - 70 | 0.0
8 - 71 | 0.0
8 - 72 | 0.0
8 - 73 | 0.0
8 - 74 | 0.0
8 - 75 | 0.0
8 - 76 | 0.0
8 - 77 | 0.0
8 - 78 | 0.0
8 - 79 | 0.0
8 - 80 | 0.0
8 - 81 | 0.0
8 - 82 | 0.0
8 - 83 | 0.0
8 - 84 | 0.0
8 - 85 | 0.0
8 - 86 | 0.0
8 - 87 | 0.0
8 - 88 | 0.0
8 - 89 | 0.0
8 - 90 | 0.0
8 - 91 | 0.0
8 - 92 | 0.0
8 - 93 | 0.0
8 - 94 | 0.0
8 - 95 | 0.0
9 - 0 | 0.0
9 - 1 | 0.0
9 - 2 | 0.0
9 - 3 | 0.0
9 - 4 | 0.0
9 - 5 | 0.0
9 - 6 | 0.0
9 - 7 | 0.0
