Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
8 - 20 | -0.000107083
8 - 21 | -1.17071e-06
8 - 22 | 0.000124775
8 - 23 | 0.000425139
8 - 24 | -0.00127509
8 - 25 | 0.000666493
8 - 26 | -0.00085617
8 - 27 | 0.00133802
8 - 28 | -0.000123019
8 - 29 | -2.65921e-06
8 - 30 | 0.000109954
8 - 31 | -0.00010904
8 - 32 | 0.000320344
8 - 33 | -0.000344858
8 - 34 | 3.04467e-05
8 - 35 | -0.000660945
8 - 36 | 9.14885e-05
8 - 37 | -1.99189e-05
8 - 38 | 9.2354e-07
8 - 39 | -0.000149411
8 - 40 | 0.000363964
8 - 41 | -0.000190262
8 - 42 | -7.82146e-05
8 - 43 | 1.2439e-05
8 - 44 | 0.000178465
8 - 45 | 2.87127e-05
8 - 46 | 4.09942e-06
8 - 47 | 7.25135e-05
8 - 48 | -0.000209403
8 - 49 | 0.000260393
8 - 50 | 6.89596e-05
8 - 51 | -0.000805663
8 - 52 | -0.000208534
8 - 53 | 2.45708e-05
8 - 54 | 0.000175475
8 - 55 | 0.000174568
8 - 56 | -5.97418e-05
8 - 57 | -2.88315e-07
8 - 58 | 5.69557e-05
8 - 59 | -0.000450128
8 - 60 | 0.000298257
8 - 61 | -0.000272144
8 - 62 | 0.000117513
8 - 63 | 3.50153e-05
8 - 64 | 8.75646e-06
8 - 65 | 0.000126369
8 - 66 | -1.02455e-05
9 - 0 | 0.000509926
9 - 1 | -0.00034834
9 - 2 | 5.69852e-07
9 - 3 | 1.20204e-05
9 - 4 | -0.000253983
9 - 5 | -0.000126692
9 - 6 | 7.66503e-05
9 - 7 | -6.96444e-07
9 - 8 | -0.00051848
9 - 9 | 0.0057122
9 - 10 | -0.00275193
9 - 11 | 0.000919861
9 - 12 | 0.000580633
9 - 13 | -0.000358192
9 - 14 | 4.774e-07
9 - 15 | 0.00019799
9 - 16 | -0.00184116
9 - 17 | 0.00106866
9 - 18 | 0.000190613
9 - 19 | -0.000235061
9 - 20 | -0.000874527
9 - 21 | 4.08542e-06
9 - 22 | 1.75235e-06
9 - 23 | 0.000933415
9 - 24 | -0.000164091
9 - 25 | -0.00154824
9 - 26 | 0.00265395
9 - 27 | 0.000154698
9 - 28 | -0.000977397
9 - 29 | 2.41571e-06
9 - 30 | 7.47418e-05
9 - 31 | 0.000154328
9 - 32 | 0.000280553
9 - 33 | 0.000205125
9 - 34 | 0.000320244
9 - 35 | 0.000789175
9 - 36 | -0.000110907
9 - 37 | 0.000166101
9 - 38 | -1.60177e-06
9 - 39 | -0.000278829
9 - 40 | 0.000974273
9 - 41 | -1.13999e-05
9 - 42 | -0.00065574
9 - 43 | 0.000662278
9 - 44 | -0.000120418
9 - 45 | 9.73889e-05
9 - 46 | -4.50704e-06
9 - 47 | 0.000210028
9 - 48 | 9.07549e-05
9 - 49 | -0.00060548
9 - 50 | 0.000524784
9 - 51 | 0.00168505
9 - 52 | -0.000392185
9 - 53 | -0.000561656
9 - 54 | 0.000319068
9 - 55 | -0.000220946
9 - 56 | -5.12215e-05
9 - 57 | 9.86054e-06
9 - 58 | -0.000175704
9 - 59 | 0.0010963
9 - 60 | 0.000231749
9 - 61 | 0.000489087
9 - 62 | 0.000310758
9 - 63 | 5.06005e-06
9 - 64 | 7.56009e-05
9 - 65 | -1.76519e-05
9 - 66 | -6.18283e-06
10 - 0 | -0.000304671
10 - 1 | 3.94766e-05
10 - 2 | -6.17083e-08
10 - 3 | -1.23666e-05
10 - 4 | 0.000334213
10 - 5 | -0.000593638
10 - 6 | 0.000108715
10 - 7 | 7.47126e-07
10 - 8 | -0.000179975
10 - 9 | -0.00275193
10 - 10 | 0.0084065
10 - 11 | -0.00305333
10 - 12 | 0.000532676
10 - 13 | -0.000174295
10 - 14 | 9.32147e-07
10 - 15 | 0.000468134
10 - 16 | 0.000566272
10 - 17 | -0.00145595
10 - 18 | -1.88293e-05
10 - 19 | 0.000827411
10 - 20 | -0.000597395
10 - 21 | 1.44101e-06
10 - 22 | -0.00103295
10 - 23 | -0.00135489
10 - 24 | -0.000221059
10 - 25 | 0.000435571
10 - 26 | -0.00160388
10 - 27 | -0.000239598
10 - 28 | 0.000107048
10 - 29 | 6.53077e-06
10 - 30 | 7.49138e-05
10 - 31 | 0.000116953
10 - 32 | -0.000952174
10 - 33 | 0.000612425
10 - 34 | -1.55164e-05
10 - 35 | -0.000369224
10 - 36 | -0.000531505
10 - 37 | 0.000305946
10 - 38 | -1.35789e-06
10 - 39 | 0.000589704
10 - 40 | 0.00042701
10 - 41 | -0.00277694
10 - 42 | 0.0016764
10 - 43 | 0.00202816
10 - 44 | -0.000596729
10 - 45 | -7.74938e-05
10 - 46 | -3.62954e-06
10 - 47 | -0.000248435
10 - 48 | -8.08373e-05
10 - 49 | 0.00102227
10 - 50 | -0.000282387
10 - 51 | -0.000185413
10 - 52 | 0.000897014
10 - 53 | 0.0013653
10 - 54 | -0.000435289
10 - 55 | 0.00020481
10 - 56 | -0.000179101
10 - 57 | 3.7706e-06
